"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Audio","CN","EN","Author","Source"
"孙子兵法(The Art of War)",1,"IntensiveReading","Meta-Knowledge","Tactics",0,1,"Philosophy and Psychology","PPY",,"P","NA","Sun Tzu",
"三十六计",1,"ThroughReading","Meta-Knowledge","Tactics",0,0,"Philosophy and Psychology","PPY",,"P","NA",,
"引爆流行(The Tipping Point)",1,"ThroughReading","Fastfood-knowledge","The War of Attention",0,1,"Business & Economics & Management","BEM","Audio","P","NA","Malcolm Gladwell",
"The Attention Merchants",0.01,"RoughReading","Hard-knowledge","The War of Attention",,,"Business & Economics & Management","BEM","Audio","NO","NA","Tim Wu",
"Shareology: How Sharing is Powering the Human Economy(分享时代：如何缔造影响力)",0.01,"RoughReading","Fastfood-knowledge","The War of Attention",0,1,"Business & Economics & Management","BEM","Audio","NA","E","Bryan J Kramer ",
"Known",0.01,"RoughReading","Fastfood-knowledge","The War of Attention",0,1,"Business & Economics & Management","BEM","Audio","NO","NO","Mark W.Schaefer",
"Skin Aging",0.2,"PartialReading","Hard-knowledge","Theory-Beauty",0,1,"Beauty&Health","BTH",,"P","NA","Gilchrest, Barbara A.","Self-Search"
"Cosmeceuticals and Cosmetic Ingredients",0,"HaveNotRead","Hard-knowledge","Theory-Beauty",0,1,"Beauty&Health","BTH",,"P","NA","Baumann, Leslie","Self-Search"
"A Consumer's Dictionary of Cosmetic Ingredients, 7th Edition",0,"HaveNotRead","Hard-knowledge","Theory-Beauty",0,1,"Beauty&Health","BTH",,"P","NA","Winter, Ruth","Self-Search"
"最重要的事，只有一件",0.01,"RoughReading","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","P","NO",,
"Two Awesome Hours(每天最重要的2小时)",0.01,"RoughReading","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","NO","P","Josh Davis",
"混乱(Messy: The Power of Disorder to Transform Our Lives)",0.01,"RoughReading","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","P","NO","Tim Harford",
"博恩·崔西的时间管理课",,"HaveNotRead","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","P","NA",,
"重来（rework）",1,"ThroughReading","Fastfood-knowledge","Time Management",0,0,"Self-development","SDP",,"NA","P","37Signals",
"从零开始学理财",,"HaveNotRead","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","P","NA",,
"理财最重要的事",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","P","NA",,
"Buffettology(巴菲特法则)",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Mary Buffett and David Clark",
"Poor Charlie's Almanack (穷查理宝典)",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Charlie Munger",
"Richest Man in Babylon(巴比伦最富有的人) ",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","George S Clason",
"The Behavior Gap(理财最重要的事)",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Carl Richards",
"The One-Page Financial Plan(99%的人一看就会的理财书)",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Carl Richards",
"Rich Dad Poor Dad(富爸爸穷爸爸)",1,"ThroughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Robert Kiyosaki and Sharon Lechter",
"Rich Dad's Guide to Investing(富爸爸投资指南)",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Robert Kiyosaki and Sharon Lechter",
"投资中最简单的事",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","邱国鹭",
"The 9 Steps to Financial Freedom",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NA","P","Orman, Suze",
"学会花钱",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",,,"Self-development","SDP","Audio",,,"野口真人",
"Personal Finance",0.01,"RoughReading","Hard-knowledge","Wealth Management",,,"Self-development","SDP","Audio",,,"Arthur J. Keown",
"The 100-Year Life(百岁人生)",0.01,"RoughReading","Fastfood-knowledge","What is the future?",0,1,"Society and Culture","SOC","Audio","E","NA","Andrew Scott & Lynda Gratton",
"Everybody Lies",0.01,"RoughReading","Fastfood-knowledge","What the Data Can Tell Us About Who We Really Are",,,"Data Science","DAT","Audio","NA","NO","Seth Stephens-Davidowitz",
"Poor Economics(贫穷的本质)",0.01,"RoughReading","Hard-knowledge","Why are people poor?",0,1,"Society and Culture","SOC","Audio","P","NO","Abhijit Banerjee and Esther Duflo",
"Willpower(意志力)",0.01,"RoughReading","Hard-knowledge","Will Power/Habit",0,1,"Self-development","SDP","Audio","P","NA","Roy F. Baumeister & John Tierney",
"The Willpower Instinct(自控力)",1,"ThroughReading","Hard-knowledge","Will Power/Habit",0,1,"Self-development","SDP","Audio","NA","P","Kelly McGonigal",
"The Power of Habit(习惯的力量)",0.01,"RoughReading","Hard-knowledge","Will Power/Habit",0,1,"Self-development","SDP","Audio",,,"Charles Duhigg",
"Mini Habits (微习惯)",0.01,"RoughReading","Fastfood-knowledge","Will Power/Habit",,,"Self-development","SDP","Audio",,,"Stephen Guise",
"坚持，一种可以养成的习惯",0.01,"RoughReading","Fastfood-knowledge","Will Power/Habit",,,"Self-development","SDP","Audio",,,"古川武士",
"从行动开始",0.01,"RoughReading","Fastfood-knowledge","Will Power/Habit",,,"Self-development","SDP","Audio",,,"石田淳",
"The World Atlas of Wine 7th",0.01,"ReferenceBook","Hard-knowledge","Wine",0,0,"Art","ART",,"E","NO","Hugh Johnson",
"The Clash of Civilizations (文明的冲突)",0.01,"RoughReading","Hard-knowledge","World Civilization",0,1,"Society and Culture","SOC","Audio","P","NA","Samuel Huntington",
"闲看水浒：字缝里的梁山规则与江湖世界",1,"ThroughReading",,"Worldly wisdom",0,0,"Other","OTH",,"E","P",,
"Corporate Confidential: 50 Secrets Your Company Doesn't Want You to Know---and What to Do About Them",1,"ThroughReading",,"Worldly wisdom",0,0,"Self-development","SDP",,"E","NO"," Cynthia Shapiro",
"Nice Girls Don't Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers",1,"ThroughReading",,"Worldly wisdom",0,0,"Self-development","SDP",,"P","NA"," Lois P Frankel",
"Getting Ahead: Three Steps to Take Your Career to the Next Level",1,"ThroughReading",,"Worldly wisdom",0,0,"Self-development","SDP",,"NA","P"," Joel A Garfinkle",
"Difficult Conversations: How to Discuss What Matters Most",0,"HaveNotRead",,"Worldly wisdom",0,0,"Self-development","SDP",,"NA","P"," Douglas Stone",
"The Secret Handshake: Mastering the Politics of the Business Inner Circle",0,"HaveNotRead",,"Worldly wisdom",0,0,"Self-development","SDP",,"NA","P","Kathleen Kelly Reardon",
"Talking from 9 to 5: Women and Men at Work",0,"HaveNotRead",,"Worldly wisdom",0,0,"Self-development","SDP",,"P","NA","Deborah Tannen",
"The Shadow Negotiation: How Women Can Master the Hidden Agendas That Determine Bargaining Success",0,"HaveNotRead",,"Worldly wisdom",0,0,"Self-development","SDP",,"NA","P"," Deborah Kolb",
"What Leaders Really Do",0,"HaveNotRead",,"Worldly wisdom",0,0,"Self-development","SDP",,"NA","P"," John P Kotter",
"Dealing with Difficult People",0,"HaveNotRead",,"Worldly wisdom",0,0,"Self-development","SDP",,"P","NA","Sandra A Crowe",
"人情与面子",0.3,"PartialReading","Hard-knowledge","Worldly wisdom",0,0,"Society and Culture","SOC",,,,"黄光国",
"成功的真谛",0.01,"RoughReading","Fastfood-knowledge","稻盛和夫哲学",0,1,"Self-development","SDP","Audio","P","NA","稻盛和夫",
"浪潮之巅",,"HaveNotRead","Fastfood-knowledge",,0,1,"Society and Culture","SOC","Audio","E","P","吴军","DeDao"
"技术奇点",,"HaveNotRead","Fastfood-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NO",,"DeDao"
"艺用人体结构运动学",0.01,"PartialReading",,,0,0,"Art","ART",,"P","P",,
"建筑的七盏明灯",0.01,"PartialReading",,,0,0,"Art","ART",,"P","NO",,
"CEO西服学",0.05,"PartialReading",,,0,0,"Art","ART",,"P","P",,
"名画的故事",0.1,"PartialReading",,,0,0,"Art","ART",,"P","NA",,
"我的风格小黑皮书",1,"ThroughReading","Fastfood-knowledge",,0,0,"Art","ART",,"p","NA",,
"旗袍",1,"ReferenceBook",,,0,0,"Art","ART",,"P","P",,
"工笔线描－蔓陀罗",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"基础图案",1,"ReferenceBook",,,0,0,"Art","ART",,"p","NA",,
"瑞兽图案",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"明代绘画艺术鉴赏",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"结构素描1－单个静物(Still Life)",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"结构素描2－几何形体(Geometric Form)",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"结构素描3－石膏五官(Facial Features)",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"基础素描全程训练——应试篇上：素描头像",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"基础素描教程第四册",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"基础美术阶梯训练教材——石膏像：素描",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"手绘的奇思妙想：49位设计师的创意速写簿",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"凡高素描",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"速写风景画法",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"米开朗基罗素描",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"园林钢笔画",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"席勒素描",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"素描速写含马克笔、彩铅笔",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",,
"美院视界——色彩静物教学现场",1,"ReferenceBook",,,0,0,"Art","ART",,"E","NA",,
"Adult Piano Adventures All-in-One Lesson Book 1",1,"ReferenceBook",,,0,0,"Art","ART",,"E","P"," Nancy Faber",
"奢侈、宁静&享乐",1,"ThroughReading",,,0,0,"Art","ART",,"P","NA","桑贝",
"听朱光潜讲美学 ",0,"HaveNotRead",,,0,0,"Art","ART",,"p","NA",,
"世界美术全鉴——巴洛克与罗可可艺术",0,"HaveNotRead",,,0,0,"Art","ART",,"p","NA",,
"造型设计基础(毕留举)",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",,
"中西形象设计史:职业形象设计师通用培训教程",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",,
"服饰配色设计原理与实例精解-服装综合设计原 理与实例精解丛书 ",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",,
"萨特论艺术",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",,
"中国少数民族服饰(图文并茂） ",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",,
"家庭园艺DIY系列——家庭种菜最健康",0.02,"PartialReading",,,0,0,"Art","ART",,"P","NA",,
"艺术词典 (Art dictionary)",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",,
"西部布堆画艺术（英汉）",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",,
"中华风物系列丛书--中国亭子艺术",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",,
"西方元典——西方经典电影(Western Films)",0.4,"PartialReading",,,0,0,"Art","ART",,"NA","P",,
"维生素矿物质养生事典 ",0.2,"ReferenceBook",,,0,0,"Beauty&Health","BTH",,"P","NA",,
"激活——给你能量的果蔬汁",1,"ReferenceBook",,,0,0,"Beauty&Health","BTH",,"P","NA",,
"牛尔的爱美书：天然面膜DIY（美容教主《美丽俏佳人》美丽教练牛尔天然护肤秘笈全公开） ",1,"ReferenceBook",,,0,0,"Beauty&Health","BTH",,"P","NA",,
"常春藤:人体大百科",0.01,"ReferenceBook",,,0,0,"Beauty&Health","MED",,"P","NA",,
"香草美人物语",1,"ThroughReading",,,0,0,"Beauty&Health","BTH",,"P","NA","Kim Morrison & Fleur Welligan ",
"吃遍全球——旅行膳食营养指南",1,"ThroughReading",,,0,0,"Beauty&Health","BTH",,"P","NA",,
"香水情氛----调出来的神秘",1,"ThroughReading",,,0,0,"Beauty&Health","BTH",,"P","NA",,
"花袭人(食花·花疗宝典) ",0,"HaveNotRead",,,0,0,"Beauty&Health","BTH",,"P","NA",,
"出版人",,"HaveNotRead",,,0,1,"Biography","BIO","Audio","P","NA",,
"Steve Jobs ",0.01,"PartialReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NA","Walter Isaacson",
"真相与传奇-杜拉斯唯一的传记影集 ",0.5,"PartialReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NA",,
"曾国藩传",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"E","NA",,
"曾国藩三部曲",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"E","NO",,
"白宫首席金融智囊格林斯潘 (Alan Greenspan)",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NO",,
"龙夫人：慈禧故事",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"NA","P",,
"约翰·亚当斯 ",0,"HaveNotRead","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"NA","P",,
"桥－奥巴马传记",0,"HaveNotRead","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NO",,
"华盛顿传",0,"HaveNotRead","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NA",,
"Biochemistry",0.3,"PartialReading","Meta-Knowledge",,0,0,"Biology","BIO",,"P","NA","Jeremy M. Berg",
"生命是什么",1,"ThroughReading","Meta-Knowledge",,0,0,"Biology","BIO",,"P","NO",,
"互联网进化论",0.01,"RoughReading","Fastfood-knowledge",,0,0,"Business & Economics & Management","BEM",,"NO","P",,
"伯恩斯坦金融三部曲1：繁荣的代价",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",,
"财富的秘密",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",,
"商业的常识",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",,
"2025年世界将发生什么",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",,
"自动自发",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",,
"中国牛市",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",,
"管理的实践",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA","德鲁克",
"罗伯特议事规则操作指南",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",,
"夏娃革命",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",,
"考验－－跨国公司败阵中国实录",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",,
"赢",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","杰克·韦尔奇",
"Competing on Analytics: The New Science of Winning",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","Thomas H",
"Consumer Behavior: Buying having and being",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","Solomon Michael R",
"Issue Driven",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO",,
"Zero to One: Notes on Startups or How to Build the Future",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","Peter Thiel",
"移动互联网时代",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO",,
"Principles of Economics(经济学原理)",1,"ThroughReading","Meta-Knowledge",,0,0,"Business & Economics & Management","BEM",,,"NO","Marshall",
"伯恩斯坦金融三部曲2：华尔街上的经济学家",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,"NO",,
"伯恩斯坦金融三部曲3：金融简史",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,"NO",,
"互联网商规11条摩根士丹利所推崇的商业战略思想",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,"NO ",,
"在路上：CCTV《赢在中国》首赛季12强创业启示录（励志创造人生 创业改变命运）",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"NO","P",,
"刀口上的管理(全球顶尖企业如何利用冲突管理引领行业创新风潮） ",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NA",,
"巴菲特致股东的信：股份公司教程",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"NO","P",,
"把握公司财务报表",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"NO","P",,
"经济学通识",0.2,"PartialReading",,,0,0,"Business & Economics & Management","BEM",,"P","NO","薛兆丰",
"The Box(集装箱改变世界)",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","P","Marc Levinson",
"Money Mischief(货币的祸害)",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NA","Milton Friedman",
"微革命",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NA","金错刀",
"The invisible heart(看不见的心)",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NA",,
"How Google Works(重新定义公司)",0.15,"RoughReading","Fastfood-knowledge",,0,0,"Business & Economics & Management","BEM",,"NO","P","Eric Schmidt and Jonathan Rosenberg",
"Leadership Pipeline",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,"P","NO","Stephen Drotter & James Noel & Ram Charan",
"The Essential Drucker (德鲁克管理思想精要)",0.01,"RoughReading","Hard-knowledge","Management",,,"Business & Economics & Management","BEM",,,,"Peter Drucker",
"Blockbusters",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NO"," Anita Elberse",
"The Alliance",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NO","Reid Hoffman",
"Animal spirits",0.01,"RoughReading","Hard-knowledge","Economics ",0,0,"Business & Economics & Management","BEM",,"P",,"George A.Akedof and Robert J.Shiller",
"Fishing for Phools (钓愚)",0.01,"RoughReading","Hard-knowledge","Economics ",,,"Business & Economics & Management","BEM",,"P",,"George A.Akedof and Robert J.Shiller",
"微观经济学纵横谈",,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,,,
"离经叛道",,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,,,
"Text Analysis with R for Students of Literature ",1,"ThroughReading",,,0,0,"Data Science","DAT",,"P","NO"," Matthew Jockers",
"看穿一切数字的统计学",0.01,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO",,
"Big Data ",1,"ThroughReading",,,0,0,"Data Science","DAT",,"P","NO",,
"大数据的冲击",1,"ThroughReading",,,0,0,"Data Science","DAT",,"P","NO","野村合作所",
"Mining of Massive Datasets",0.01,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO",,
"Mining the Social Web",0.01,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO"," Matthew A. Russell",
"Doing Data Science",0.05,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO"," Cathy O'Neil",
"Humanities Data in R",0.5,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO","Taylor Arnold",
"Political Analysis Using R",1,"ThroughReading",,,0,0,"Data Science","DAT",,"P","NO","James E. Monogan III",
"Practical Text Analytics: Interpreting Text and Unstructured Data for Business Intelligence",0.01,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO","Steven Struhl",
"翻译理论与实务丛书——跨文化旅游翻译",0,"HaveNotRead",,,0,0,"English","ENG",,"E","NO",,
"典籍英译研究(Studies on Translation of Chinese Classics into English)",0,"HaveNotRead",,,0,0,"English","ENG",,"E","NO",,
"季羡林谈翻译",0,"HaveNotRead",,,0,0,"English","ENG",,"E","NA",,
"Style: Lessons in Clarity and Grace",0.5,"PartialReading",,,0,0,"English","ENG",,"P","NA"," Joseph M Williams",
"男人这东西",0.5,"PartialReading",,,0,0,"Gender","GND",,"P","NO","渡边淳一",
"完全出轨手册",1,"ThroughReading",,,0,0,"Gender","GND",,"P","NA",,
"享受单身",1,"ThroughReading",,,0,0,"Gender","GND",,"P","NO",,
"滚床单心理学",1,"ThroughReading",,,0,0,"Gender","GND",,"P","NO",,
"迎男而上",1,"ThroughReading",,,0,0,"Gender","GND",,"P","NA","燕公子",
"Obsessive Love(强迫的爱)",1,"RoughReading",,,,,"Gender","GND",,,,"Susan Forward & Craig Buck",
"世界简史 ",0.01,"PartialReading",,,0,0,"History","HTY",,"P","NA",,
"传说时代 · 夏 · 商 · 西周",0.01,"PartialReading",,,0,0,"History","HTY",,"P","NO",,
"忽必烈大帝 ",0.01,"PartialReading",,,0,0,"History","HTY",,"P","NO",,
"美国人民 —— 创建一个国家和一种社会（上卷 1492-1877 年第六版）",0.05,"PartialReading",,,0,0,"History","HTY",,"P","NO",,
"人类的故事 (the history of mankind)",0.1,"PartialReading",,,0,0,"History","HTY",,"P","NO","Hendrik Willem Van Loon",
"何苦生在帝王家（大清公主命运实录 )",0.1,"PartialReading",,,0,0,"History","HTY",,"P","NO",,
"《大国崛起》 日本",0.2,"PartialReading",,,0,0,"History","HTY",,"P","NO",,
"The Rise and Fall of the Third Reich(第三帝国的兴亡 )",0.25,"PartialReading",,,0,0,"History","HTY",,"P","NO","William L.Shirer ",
"上帝之鞭阿提拉",0.3,"PartialReading",,,0,0,"History","HTY",,"P","NO",,
"百家讲坛: 说雍正",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO",,
"《大国崛起》美国",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"《大国崛起》 俄罗斯 ",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"边走边读",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"历史的胭脂痕迹 : 触摸历史上命运多舛的红颜背后",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO",,
"历史深处的忧虑1",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"总统是靠不住的2",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"我也有一个梦想3",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"如彗星划过夜空4",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"《大国崛起》德国",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"武则天正传",1,"ThroughReading",,,0,0,"History","HTY",,"P","P","林语堂",
"宗教简史 (A Brief History of Religion)",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"美国无法忘却的罪恶 —— 美利坚风雨二百年",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO",,
"探索古文明系列 —— 木乃伊",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"木乃伊：法老时代的生与死",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA","覃东",
"秦风作品系列——秦风老照片馆",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",,
"邓小平时代",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO ","傅高义",
"On China(论中国)",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO","基辛格",
"《大国崛起》法国",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"《大国崛起》西班牙 / 葡萄牙",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"《大国崛起》 荷兰",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"亚洲简史 ",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"Universal history of world",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"彩色人文历史 —— 文学的历史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"传播学史：一种传记式的方法",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"中国美术史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"西方美术史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"美洲简史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"欧洲艺术史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"1949 伯力大审判 —— 侵华日军使用细菌武器案庭审实录",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",,
"彩色人文历史 —— 演艺的历史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA",,
"影响人类历史的大审判",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA",,
"总统的力量 ",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA",,
"资治通鉴",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA",,
